ISIN,Name,Type,Source,Shares,Price_Local,Value_Local,Buy_Price_Local,Buy_Value_Local,Currency,Last_Updated,Notes,FX_Rate_to_EUR,Price_EUR,Value_EUR,Buy_Price_EUR,Buy_Value_EUR
LU0133819333,DEKA PORTF.NACHH.GLOB.AKT,Stock/ETF,Germany,258.502,61.2,15820.32,58.03,15000.87,EUR,,,,,,,
DE000DK2CDS0,DEKA-DIVID.STRATEG.CF(A),Stock/ETF,Germany,53.186,192.57,10242.03,152.21,8095.44,EUR,,,,,,,
DE000DK0ECS2,DEKA-UMWELTINVEST CF,Stock/ETF,Germany,71.398,176.66,12613.17,168.49,12029.85,EUR,,,,,,,
LU0052859252,DEKALUXTEAM AKT. ASIEN CF,Stock/ETF,Germany,1.278,730.96,934.17,782.47,1000.0,EUR,,,,,,,
LU1616932940,DWS I.-ESG EQ.INC.LD,Stock/ETF,Germany,114.978,133.23,15318.52,130.46,15000.03,EUR,,,,,,,
LU0051755006,JPM-CHINA JPMCHINA ADDL,Stock/ETF,Germany,118.75,61.39,6425.23,64.03,6716.51,EUR,,,,,,,
LU0058908533,JPM-INDIA FD JPMI ADDL,Stock/ETF,Germany,32.401,118.48,3383.46,98.75,2826.35,EUR,,,,,,,
,Alibaba,Stock/ETF,UAE,3.0,138.63,323.19,138.63,323.19,USD,,Missing ISIN,,,,,
US02079K3059,Alphabet,Stock/ETF,UAE,10.0,148.1,1571.4,148.1,1571.4,USD,,,,,,,
,"AMAZON.COM INC.    DL-,01",Stock/ETF,UAE,10.0,167.12,1848.7,167.12,1848.7,USD,,Missing ISIN,,,,,
US0420682058,ARM Holdings,Stock/ETF,UAE,9.0,137.0,935.91,137.0,935.91,USD,,,,,,,
US11135F1012,Broadcom,Stock/ETF,UAE,6.0,219.7,1091.64,219.7,1091.64,USD,,,,,,,
NL0011585146,Ferrari,Stock/ETF,UAE,20.0,360.21625,8571.6,360.21625,8571.6,USD,,,,,,,
,"NVIDIA CORP.      DL-,001",Stock/ETF,UAE,30.0,98.38666667,3327.9,98.38666667,3327.9,USD,,Missing ISIN,,,,,
,Polestar Automotive ,Stock/ETF,UAE,2550.0,1.32470588,2543.37,1.32470588,2543.37,USD,,Missing ISIN,,,,,
,SPDR S&P 500 ETF Trust,Stock/ETF,UAE,11.0,478.5945455,5873.34,478.5945455,5873.34,USD,,Missing ISIN,,,,,
,"TESLA INC. DL -,001",Stock/ETF,UAE,12.0,216.45,3026.87,216.45,3026.87,USD,,Missing ISIN,,,,,
,Xiaomi,Stock/ETF,UAE,800.0,39.375,4416.33,39.375,4416.33,HKD,,Missing ISIN,,,,,
PROPERTY-MUC-001,Apartment in Munich (126 sqm),Real Estate,Germany,1.0,1300000.0,1300000.0,1269000.0,1269000.0,EUR,,,,,,,
PROPERTY-WIE-001,Apartment in Wiesbaden (66 sqm),Real Estate,Germany,1.0,400000.0,400000.0,250000.0,250000.0,EUR,,,,,,,
PROPERTY-DXB-001,Palm Jumeirah Shoreline 9,Real Estate,UAE,1.0,5500000.0,5500000.0,4300000.0,4300000.0,AED,,,,,,,
UAE-SALIK,SALIK,Stock/ETF,UAE,7251.0,1.27,9208.77,1.27,9208.77,AED,,,,,,,
UAE-DIB,DIB,Stock/ETF,UAE,4270.0,1.8625,7952.875,1.8625,7952.875,AED,,,,,,,
UAE-ENBD,ENBD,Stock/ETF,UAE,1280.0,5.0375,6448.0,5.0375,6448.0,AED,,,,,,,
UAE-EMAAR,EMAAR Properties,Stock/ETF,UAE,1886.0,3.05,5752.3,3.05,5752.3,AED,,,,,,,
UAE-PARKIN,Parkin,Stock/ETF,UAE,4730.0,1.2,5676.0,1.2,5676.0,AED,,,,,,,
UAE-EMAARDEV,Emaar DEV,Stock/ETF,UAE,500.0,2.8625,1431.25,2.8625,1431.25,AED,,,,,,,
UAE-EAND,E&,Stock/ETF,UAE,255.0,4.255,1085.025,4.255,1085.025,AED,,,,,,,
